20210101,0,13450.44,13450.44
20210101,3,2.69,13453.13
20210101,2,9000.00,4453.13
20210101,2,3000.00,1453.13
20210101,2,2000.00,-546.87
20210101,4,50.00,-596.87
20210102,2,2000.00,-2596.87
20210102,4,50.00,-2646.87
20210103,2,2000.00,-4646.87
20210103,1,1000.00,-3646.87
20210103,1,7000.00,3353.13
20210104,3,0.67,3353.80
20210104,1,3000.00,6353.80
20210104,2,10000.00,-3646.20
20210104,2,4500.00,-8146.20
20210104,4,50.00,-8196.20
20210105,4,50.00,-8246.20
20210106,4,50.00,-8296.20
20210107,1,1000.00,-7296.20
20210107,2,9000.00,-16296.20
20210107,4,50.00,-16346.20
20210108,2,1500.00,-17846.20
20210108,1,9000.00,-8846.20
20210108,2,2500.00,-11346.20
20210108,2,9000.00,-20346.20
20210108,4,50.00,-20396.20
20210109,2,8000.00,-28396.20
20210109,1,10000.00,-18396.20
20210109,2,500.00,-18896.20
20210109,4,50.00,-18946.20
20210110,4,50.00,-18996.20
20210111,1,5000.00,-13996.20
20210111,1,24000.00,10003.80
