20210101,0,4004345.88,4004345.88
20210101,3,800.87,4005146.75
20210102,3,801.03,4005947.78
20210102,2,500.00,4005447.78
20210102,2,5000.00,4000447.78
20210103,3,800.09,4001247.87
20210103,2,3300.00,3997947.87
20210104,3,799.59,3998747.46
20210104,1,3300.00,4002047.46
20210104,2,10000.00,3992047.46
20210104,1,10000.00,4002047.46
20210105,3,800.41,4002847.87
20210106,3,800.57,4003648.44
20210107,3,800.73,4004449.17
20210107,1,500.00,4004949.17
20210107,2,8000.00,3996949.17
20210107,1,4500.00,4001449.17
20210108,3,800.29,4002249.46
20210109,3,800.45,4003049.91
20210109,1,3300.00,4006349.91
20210109,2,2000.00,4004349.91
20210109,1,3000.00,4007349.91
20210110,3,801.47,4008151.38
20210110,1,8000.00,4016151.38
20210110,2,10000.00,4006151.38
20210110,2,1500.00,4004651.38
20210110,2,500.00,4004151.38
20210111,3,800.83,4004952.21
20210111,2,8000.00,3996952.21
20210111,2,3500.00,3993452.21
20210111,1,3500.00,3996952.21
