20210101,0,305430.98,305430.98
20210101,3,61.09,305492.07
20210101,2,4500.00,300992.07
20210101,2,8000.00,292992.07
20210101,1,9000.00,301992.07
20210102,3,60.40,302052.47
20210102,1,3300.00,305352.47
20210102,2,500.00,304852.47
20210103,3,60.97,304913.44
20210104,3,60.98,304974.42
20210104,1,1000.00,305974.42
20210104,1,2000.00,307974.42
20210105,3,61.59,308036.01
20210106,3,61.61,308097.62
20210107,3,61.62,308159.24
20210107,2,25000.00,283159.24
20210107,2,3000.00,280159.24
20210108,3,56.03,280215.27
20210108,1,3000.00,283215.27
20210109,3,56.64,283271.91
20210110,3,56.65,283328.56
20210110,1,10000.00,293328.56
20210110,1,8000.00,301328.56
20210110,1,1000.00,302328.56
20210111,3,60.47,302389.03
