20210101,0,795675.33,795675.33
20210101,3,159.14,795834.47
20210102,3,159.17,795993.64
20210102,2,500.00,795493.64
20210102,2,3300.00,792193.64
20210102,2,8000.00,784193.64
20210103,3,156.84,784350.48
20210103,1,10000.00,794350.48
20210103,1,3300.00,797650.48
20210103,1,10000.00,807650.48
20210104,3,161.53,807812.01
20210104,2,2500.00,805312.01
20210104,2,1500.00,803812.01
20210105,3,160.76,803972.77
20210106,3,160.79,804133.56
20210107,3,160.83,804294.39
20210107,1,25000.00,829294.39
20210107,1,1500.00,830794.39
20210108,3,166.16,830960.55
20210108,2,2000.00,828960.55
20210109,3,165.79,829126.34
20210109,1,4500.00,833626.34
20210110,3,166.73,833793.07
20210110,2,3000.00,830793.07
20210110,1,2000.00,832793.07
20210111,3,166.56,832959.63
20210111,2,8000.00,824959.63
20210111,1,35000.00,859959.63
